price,expected_sales,expected_revenue
50.0,849.069962053572,42453.4981026786
51.0,846.6088374946481,43177.05071222706
52.0,844.1477129357243,43895.68107265766
53.0,841.6865883768004,44609.38918397042
54.0,839.2254638178764,45318.17504616533
55.0,836.7643392589525,46022.03865924239
56.0,834.3032147000287,46720.980023201606
57.0,831.8420901411047,47414.999138042964
58.0,829.3809655821808,48104.096003766485
59.0,826.9198410232569,48788.27062037216
60.0,824.4587164643331,49467.522987859986
61.0,821.9975919054091,50141.85310622995
62.0,819.5364673464852,50811.26097548208
63.0,817.0753427875613,51475.746595616365
64.0,814.6142182286374,52135.30996663279
65.0,812.1530936697135,52789.95108853138
66.0,809.6919691107896,53439.669961312116
67.0,807.2308445518656,54084.466584974994
68.0,804.7697199929418,54724.34095952004
69.0,802.3085954340179,55359.29308494723
70.0,799.8474708750939,55989.32296125657
71.0,797.38634631617,56614.43058844807
72.0,794.9252217572462,57234.61596652173
73.0,792.4640971983223,57849.879095477525
74.0,790.0029726393983,58460.21997531548
75.0,787.5418480804744,59065.63860603558
76.0,785.0807235215506,59666.134987637844
77.0,782.6195989626267,60261.70912012226
78.0,780.1584744037027,60852.36100348881
79.0,777.6973498447788,61438.09063773753
80.0,775.236225285855,62018.898022868394
81.0,772.775100726931,62594.78315888141
82.0,770.3139761680071,63165.746045776585
83.0,767.8528516090832,63731.78668355391
84.0,765.3917270501593,64292.905072213376
85.0,762.9306024912354,64849.101211755005
86.0,760.4694779323115,65400.37510217879
87.0,758.0083533733875,65946.72674348472
88.0,755.5472288144637,66488.1561356728
89.0,753.0861042555398,67024.66327874304
90.0,750.6249796966159,67556.24817269543
91.0,748.1638551376919,68082.91081752996
92.0,745.7027305787681,68604.65121324666
93.0,743.2416060198442,69121.4693598455
94.0,740.7804814609202,69633.3652573265
95.0,738.3193569019963,70140.33890568966
96.0,735.8582323430725,70642.39030493496
97.0,733.3971077841486,71139.51945506241
98.0,730.9359832252246,71631.72635607202
99.0,728.4748586663007,72119.01100796377
100.0,726.0137341073769,72601.3734107377
101.0,723.5526095484529,73078.81356439374
102.0,721.091484989529,73551.33146893197
103.0,718.6303604306052,74018.92712435233
104.0,716.1692358716812,74481.60053065485
105.0,713.7081113127573,74939.35168783952
106.0,711.2469867538334,75392.18059590635
107.0,708.7858621949096,75840.08725485532
108.0,706.3247376359856,76283.07166468645
109.0,703.8636130770617,76721.13382539972
110.0,701.4024885181378,77154.27373699516
111.0,698.9413639592138,77582.49139947274
112.0,696.48023940029,78005.78681283248
113.0,694.0191148413661,78424.15997707436
114.0,691.5579902824422,78837.61089219841
115.0,689.0968657235182,79246.1395582046
116.0,686.6357411645944,79649.74597509294
117.0,684.1746166056705,80048.43014286345
118.0,681.7134920467465,80442.19206151609
119.0,679.2523674878227,80831.0317310509
120.0,676.7912429288988,81214.94915146785
121.0,674.3301183699748,81593.94432276695
122.0,671.8689938110509,81968.01724494822
123.0,669.407869252127,82337.16791801163
124.0,666.9467446932031,82701.39634195718
125.0,664.4856201342792,83060.7025167849
126.0,662.0244955753553,83415.08644249476
127.0,659.5633710164315,83764.5481190868
128.0,657.1022464575075,84109.08754656096
129.0,654.6411218985836,84448.70472491729
130.0,652.1799973396597,84783.39965415577
131.0,649.7188727807359,85113.1723342764
132.0,647.2577482218119,85438.02276527917
133.0,644.796623662888,85757.9509471641
134.0,642.3354991039641,86072.9568799312
135.0,639.8743745450402,86383.04056358042
136.0,637.4132499861163,86688.20199811182
137.0,634.9521254271924,86988.44118352536
138.0,632.4910008682684,87283.75811982104
139.0,630.0298763093446,87574.1528069989
140.0,627.5687517504207,87859.6252450589
141.0,625.1076271914967,88140.17543400104
142.0,622.6465026325728,88415.80337382534
143.0,620.185378073649,88686.5090645318
144.0,617.7242535147251,88952.29250612042
145.0,615.2631289558011,89213.15369859117
146.0,612.8020043968772,89469.09264194408
147.0,610.3408798379534,89720.10933617914
148.0,607.8797552790294,89966.20378129635
149.0,605.4186307201055,90207.37597729573
150.0,602.9575061611816,90443.62592417725
